Bruno | Deletado | Grupo | Recepcionista
João | Adicionado | Grupo | 2
Aaaaa | Adicionado | Grupo | Profissional
Aaaaa | Deletado | Grupo | Profissional | 2025-10-29 14:38:06
João | Deletado | Grupo | Profissional | 14:38:58 29-10-2025
Fer | Adicionado | Grupo | Recepcionista | 00:10:46 02-11-2025
Fer | Adicionado | Grupo | Recepcionista | 17:08:13 03-11-2025
Pedro | Adicionado | Grupo | Profissional | 14:11:12 04-11-2025
admin | Adicionado | Teste | Grupo | Recepcionista | 14:46:49 05-11-2025
admin | Adicionou | aaaa | Grupo | Recepcionista | 14:48:08 05-11-2025
admin | Alterado | aaaabbb | Grupo | Recepcionista | 14:48:28 05-11-2025
admin | Deletou | aaaabbb | Grupo | Recepcionista | 14:50:11 05-11-2025
admin | Restaurou | Jota | Grupo | Profissional | 14:50:52 05-11-2025
admin | Adicionou | teste | Grupo | Recepcionista | 16:17:07 18-11-2025
admin | Deletou | teste | Grupo | Recepcionista | 16:17:35 18-11-2025
admin | Adicionou | Recepcionista | Grupo | Recepcionista | 16:18:04 18-11-2025
admin | Adicionou | Prof | Grupo | Profissional | 16:18:12 18-11-2025
admin | Adicionou | Bruno | Grupo | Profissional | 16:21:33 18-11-2025
admin | Adicionou | Gustavo | Grupo | Recepcionista | 16:21:45 18-11-2025
admin | Adicionou | Pedro | Grupo | Profissional | 16:21:55 18-11-2025
admin | Adicionou | Joao | Grupo | Profissional | 16:22:07 18-11-2025
admin | Adicionou | Kauan | Grupo | Adminstrador | 16:22:31 18-11-2025
admin | Adicionou | Guilherme | Grupo | Profissional | 16:22:41 18-11-2025
admin | Adicionou | Eduardo | Grupo | Recepcionista | 16:22:56 18-11-2025
admin | Adicionou | Mazzeto | Grupo | Adminstrador | 16:23:06 18-11-2025
admin | Adicionou | Gabriel | Grupo | Profissional | 16:23:16 18-11-2025
admin | Restaurou | Joao | Grupo | Profissional | 16:23:19 18-11-2025
admin | Adicionou | Arthur | Grupo | Profissional | 16:23:39 18-11-2025
admin | Adicionou | Folly | Grupo | Profissional | 16:23:46 18-11-2025
admin | Adicionou | Leonardo | Grupo | Recepcionista | 16:24:02 18-11-2025
admin | Adicionou | Matheus | Grupo | Recepcionista | 16:24:13 18-11-2025
admin | Adicionou | Crisele | Grupo | Recepcionista | 16:24:21 18-11-2025
